Date,clot
19.4.2022,"1,0208"
14.4.2022,"1,0189"
13.4.2022,"1,0116"
12.4.2022,"1,0131"
11.4.2022,"1,0180"
8.4.2022,"1,0155"
7.4.2022,"1,0185"
6.4.2022,"1,0187"
5.4.2022,"1,0141"
4.4.2022,"1,0203"
1.4.2022,"1,0217"
31.3.2022,"1,0267"
30.3.2022,"1,0309"
29.3.2022,"1,0362"
28.3.2022,"1,0257"
25.3.2022,"1,0207"
24.3.2022,"1,0225"
23.3.2022,"1,0269"
22.3.2022,"1,0275"
21.3.2022,"1,0278"
18.3.2022,"1,0314"
17.3.2022,"1,0385"
16.3.2022,"1,0336"
15.3.2022,"1,0322"
14.3.2022,"1,0249"
11.3.2022,"1,023"
10.3.2022,"1,027"
9.3.2022,"1,0198"
8.3.2022,"1,0111"
7.3.2022,"1,0069"
4.3.2022,"1,0056"
3.3.2022,"1,0192"
2.3.2022,"1,0216"
1.3.2022,"1,0247"
28.2.2022,"1,0336"
25.2.2022,"1,0398"
24.2.2022,"1,032"
23.2.2022,"1,0431"
22.2.2022,"1,0422"
21.2.2022,"1,0387"
18.2.2022,"1,0452"
17.2.2022,"1,0466"
16.2.2022,"1,0516"
15.2.2022,"1,0483"
14.2.2022,"1,0472"
11.2.2022,"1,0557"
10.2.2022,"1,0571"
9.2.2022,"1,0555"
8.2.2022,"1,0545"
7.2.2022,"1,0571"
4.2.2022,"1,0567"
3.2.2022,"1,0407"
2.2.2022,"1,0399"
1.2.2022,"1,0374"
31.1.2022,"1,0404"
28.1.2022,"1,0378"
27.1.2022,"1,0391"
26.1.2022,"1,0386"
25.1.2022,"1,0364"
24.1.2022,"1,0308"
21.1.2022,"1,0353"
20.1.2022,"1,0382"
19.1.2022,"1,0383"
18.1.2022,"1,0414"
17.1.2022,"1,0429"
14.1.2022,"1,0429"
13.1.2022,"1,0453"
12.1.2022,"1,0486"
11.1.2022,"1,0502"
10.1.2022,"1,0446"
7.1.2022,"1,0422"
6.1.2022,"1,0395"
5.1.2022,"1,0364"
4.1.2022,"1,0355"
3.1.2022,"1,0372"
31.12.2021,"1,0331"
30.12.2021,"1,0363"
29.12.2021,"1,038"
28.12.2021,"1,0381"
27.12.2021,"1,0396"
24.12.2021,"1,0402"
23.12.2021,"1,0413"
22.12.2021,"1,0432"
21.12.2021,"1,0417"
20.12.2021,"1,0408"
17.12.2021,"1,0409"
16.12.2021,"1,0457"
15.12.2021,"1,042"
14.12.2021,"1,04"
13.12.2021,"1,042"
10.12.2021,"1,042"
09.12.2021,"1,045"
08.12.2021,"1,043"
07.12.2021,"1,041"
06.12.2021,"1,042"
03.12.2021,"1,039"
02.12.2021,"1,041"
01.12.2021,"1,043"
30.11.2021,"1,043"
29.11.2021,"1,044"
26.11.2021,"1,045"
25.11.2021,"1,048"
24.11.2021,"1,048"
23.11.2021,"1,049"
22.11.2021,"1,045"
19.11.2021,"1,046"
18.11.2021,"1,051"
17.11.2021,"1,053"
16.11.2021,"1,053"
15.11.2021,"1,053"
12.11.2021,"1,057"
11.11.2021,"1,056"
10.11.2021,"1,056"
09.11.2021,"1,059"
08.11.2021,"1,059"
05.11.2021,"1,056"
04.11.2021,"1,055"
03.11.2021,"1,057"
02.11.2021,"1,059"
01.11.2021,"1,056"
29.10.2021,"1,061"
28.10.2021,"1,066"
27.10.2021,"1,067"
26.10.2021,"1,068"
25.10.2021,"1,067"
22.10.2021,"1,067"
21.10.2021,"1,069"
20.10.2021,"1,074"
19.10.2021,"1,072"
18.10.2021,"1,071"
15.10.2021,"1,073"
14.10.2021,"1,069"
13.10.2021,"1,072"
12.10.2021,"1,073"
11.10.2021,"1,072"
08.10.2021,"1,073"
07.10.2021,"1,071"
06.10.2021,"1,072"
05.10.2021,"1,075"
04.10.2021,"1,077"
01.10.2021,"1,079"
30.09.2021,"1,083"
29.09.2021,"1,083"
28.09.2021,"1,084"
27.09.2021,"1,085"
24.09.2021,"1,083"
23.09.2021,"1,083"
22.09.2021,"1,082"
21.09.2021,"1,085"
20.09.2021,"1,088"
17.09.2021,"1,093"
16.09.2021,"1,089"
15.09.2021,"1,085"
14.09.2021,"1,089"
13.09.2021,"1,087"
10.09.2021,"1,085"
09.09.2021,"1,086"
08.09.2021,"1,089"
07.09.2021,"1,085"
06.09.2021,"1,087"
03.09.2021,"1,086"
02.09.2021,"1,085"
